ticket_id,customer_id,ticket_date,issue_type,resolution_time_hours,satisfaction_score,resolved
TICK014671,CUST028675,2025-05-02,Delivery Delay,13.2,3.9,No
TICK014672,CUST008399,2025-09-15,Refund,16.3,4.7,Yes
TICK014673,CUST040799,2025-09-17,Payment Issue,26.6,2.7,Yes
TICK014674,CUST031819,2024-07-07,Delivery Delay,8.7,4.5,Yes
TICK014675,CUST022425,2025-01-24,Cancellation,10.8,4.9,Yes
TICK014676,CUST000374,2024-11-05,Refund,30.3,3.6,Yes
TICK014677,CUST035613,2024-04-19,Product Information,11.8,4.5,Yes
TICK014678,CUST038859,2025-06-29,Refund,41.0,3.7,Yes
TICK014679,CUST013920,2024-07-27,Product Quality,26.6,3.2,Yes
TICK014680,CUST011367,2025-08-03,Account Access,11.0,2.6,Yes
TICK014681,CUST028244,2024-09-19,Product Quality,3.9,4.5,Yes
TICK014682,CUST006247,2025-06-13,Payment Issue,17.7,3.8,Yes
TICK014683,CUST009263,2024-11-09,Product Quality,21.2,4.6,Yes
TICK014684,CUST043981,2024-12-17,Account Access,29.7,4.5,Yes
TICK014685,CUST041975,2025-10-26,Product Information,25.3,2.6,Yes
TICK014686,CUST045181,2025-09-19,Product Quality,74.7,4.2,Yes
TICK014687,CUST028623,2025-01-09,Refund,10.5,5.0,Yes
TICK014688,CUST001742,2024-03-01,Product Quality,42.7,2.2,Yes
TICK014689,CUST039976,2024-03-08,Delivery Delay,51.3,4.3,Yes
TICK014690,CUST048042,2025-10-17,Account Access,16.0,4.7,Yes
TICK014691,CUST032598,2025-10-26,Product Information,7.7,2.8,Yes
TICK014692,CUST010378,2025-12-07,Account Access,15.1,4.1,Yes
TICK014693,CUST011478,2025-02-26,Refund,34.6,4.2,Yes
TICK014694,CUST026239,2025-02-18,Product Information,15.0,5.0,No
TICK014695,CUST000823,2024-05-11,Account Access,9.0,5.0,Yes
TICK014696,CUST004846,2024-06-10,Refund,18.0,4.0,Yes
TICK014697,CUST043319,2025-10-11,Delivery Delay,7.4,4.5,Yes
TICK014698,CUST026371,2024-02-13,Product Quality,15.0,2.9,Yes
TICK014699,CUST029746,2025-03-26,Payment Issue,18.1,3.9,Yes
TICK014700,CUST013144,2025-11-28,Product Quality,9.0,3.9,Yes
TICK014701,CUST048595,2025-10-15,Product Quality,4.3,2.9,Yes
TICK014702,CUST009783,2024-08-16,Refund,5.7,5.0,Yes
TICK014703,CUST007461,2025-07-29,Account Access,11.7,2.2,Yes
TICK014704,CUST020577,2025-06-28,Product Quality,53.1,4.1,Yes
TICK014705,CUST044375,2024-11-05,Product Information,39.2,3.6,Yes
TICK014706,CUST048334,2024-02-28,Product Quality,26.2,3.7,Yes
TICK014707,CUST008684,2025-08-09,Payment Issue,28.9,4.5,Yes
TICK014708,CUST002052,2024-02-22,Account Access,16.2,4.9,Yes
TICK014709,CUST006890,2024-11-23,Delivery Delay,23.9,2.7,Yes
TICK014710,CUST025043,2024-05-17,Product Quality,55.2,4.9,Yes
TICK014711,CUST002679,2025-02-14,Account Access,64.2,4.7,Yes
TICK014712,CUST038757,2024-10-02,Refund,17.4,2.5,Yes
TICK014713,CUST003143,2024-01-19,Product Quality,15.8,4.0,Yes
TICK014714,CUST035231,2025-06-25,Refund,23.6,3.3,Yes
TICK014715,CUST012272,2024-10-12,Refund,14.3,4.1,Yes
TICK014716,CUST026692,2025-07-31,Account Access,35.4,2.9,Yes
TICK014717,CUST042277,2024-12-31,Account Access,37.2,4.3,Yes
TICK014718,CUST013283,2024-11-14,Cancellation,28.2,4.7,Yes
TICK014719,CUST024436,2025-05-22,Payment Issue,18.6,3.6,Yes
TICK014720,CUST025885,2025-06-04,Account Access,21.7,4.6,Yes
TICK014721,CUST008027,2025-04-19,Payment Issue,18.3,4.4,Yes
TICK014722,CUST019996,2024-06-04,Delivery Delay,14.7,4.4,Yes
TICK014723,CUST017341,2025-05-01,Payment Issue,40.1,5.0,Yes
TICK014724,CUST001499,2025-10-10,Product Quality,30.4,5.0,Yes
TICK014725,CUST022564,2025-03-29,Product Quality,10.6,5.0,No
TICK014726,CUST017819,2024-04-09,Account Access,11.3,3.1,Yes
TICK014727,CUST030259,2025-10-08,Cancellation,19.1,3.8,Yes
TICK014728,CUST047141,2024-09-24,Delivery Delay,15.7,2.7,Yes
TICK014729,CUST045671,2024-08-24,Cancellation,4.6,3.3,Yes
TICK014730,CUST046398,2025-10-19,Product Information,22.9,3.5,Yes
TICK014731,CUST041158,2024-10-21,Refund,10.9,4.0,Yes
TICK014732,CUST039480,2024-05-28,Cancellation,20.0,3.3,Yes
TICK014733,CUST007008,2024-11-15,Refund,22.8,4.2,Yes
TICK014734,CUST025950,2024-09-19,Account Access,41.3,2.8,Yes
TICK014735,CUST024756,2024-10-04,Delivery Delay,15.9,5.0,Yes
TICK014736,CUST049232,2025-12-26,Payment Issue,19.6,2.6,Yes
TICK014737,CUST022919,2025-08-31,Product Information,78.4,3.2,Yes
TICK014738,CUST043946,2024-07-29,Delivery Delay,7.9,3.8,Yes
TICK014739,CUST025912,2024-05-16,Refund,29.1,2.9,Yes
TICK014740,CUST009365,2024-02-15,Product Quality,16.6,4.4,Yes
TICK014741,CUST022809,2024-10-06,Refund,13.3,3.3,Yes
TICK014742,CUST018431,2024-04-08,Delivery Delay,12.9,5.0,Yes
TICK014743,CUST000737,2025-12-07,Account Access,20.0,4.9,Yes
TICK014744,CUST014747,2025-03-25,Refund,15.0,2.6,Yes
TICK014745,CUST008906,2024-09-19,Delivery Delay,13.9,4.3,Yes
TICK014746,CUST021056,2024-08-07,Product Information,8.6,3.4,Yes
TICK014747,CUST021775,2025-11-24,Delivery Delay,33.2,3.1,Yes
TICK014748,CUST020525,2024-02-11,Payment Issue,11.4,5.0,Yes
TICK014749,CUST012550,2025-08-31,Product Information,12.4,2.7,Yes
TICK014750,CUST025441,2025-09-02,Payment Issue,19.8,2.6,Yes
TICK014751,CUST048976,2024-03-24,Payment Issue,14.2,4.5,Yes
TICK014752,CUST032195,2025-08-04,Account Access,15.5,3.3,Yes
TICK014753,CUST028173,2025-05-20,Cancellation,26.7,2.4,Yes
TICK014754,CUST036015,2024-11-22,Product Quality,19.6,4.9,Yes
TICK014755,CUST008106,2025-06-08,Refund,55.6,2.5,Yes
TICK014756,CUST047701,2025-01-15,Refund,15.9,4.2,Yes
TICK014757,CUST006731,2024-08-28,Account Access,32.3,2.8,Yes
TICK014758,CUST030751,2025-01-26,Refund,51.9,5.0,Yes
TICK014759,CUST044528,2025-05-13,Cancellation,14.4,4.2,Yes
TICK014760,CUST012280,2024-02-01,Refund,28.1,3.0,Yes
TICK014761,CUST049320,2024-06-15,Delivery Delay,17.4,4.7,Yes
TICK014762,CUST001344,2024-10-25,Refund,15.1,4.4,Yes
TICK014763,CUST046352,2024-09-13,Cancellation,26.4,4.3,Yes
TICK014764,CUST028721,2024-09-26,Delivery Delay,18.5,3.2,Yes
TICK014765,CUST010482,2025-02-05,Refund,38.8,4.1,Yes
TICK014766,CUST023856,2024-09-09,Cancellation,6.7,2.5,Yes
TICK014767,CUST020692,2024-10-18,Delivery Delay,32.7,2.4,Yes
TICK014768,CUST049425,2025-03-05,Account Access,15.4,4.6,Yes
TICK014769,CUST016470,2025-01-08,Delivery Delay,22.6,2.6,Yes
TICK014770,CUST021624,2025-07-26,Refund,17.8,3.2,Yes
TICK014771,CUST011661,2024-12-11,Product Quality,12.5,4.3,No
TICK014772,CUST004817,2025-11-19,Payment Issue,27.5,4.4,No
TICK014773,CUST008580,2024-07-20,Cancellation,14.6,4.2,Yes
TICK014774,CUST022833,2025-11-08,Refund,8.2,3.4,Yes
TICK014775,CUST004777,2024-10-15,Delivery Delay,10.5,2.8,Yes
TICK014776,CUST023695,2024-06-05,Delivery Delay,19.6,2.5,Yes
TICK014777,CUST025847,2024-04-14,Product Information,40.0,4.0,Yes
TICK014778,CUST020669,2025-04-15,Cancellation,16.6,2.8,Yes
TICK014779,CUST003908,2025-04-28,Product Quality,4.4,4.4,Yes
TICK014780,CUST014483,2024-07-23,Refund,25.7,5.0,Yes
TICK014781,CUST018787,2025-11-07,Delivery Delay,16.6,4.2,Yes
TICK014782,CUST032058,2025-10-23,Delivery Delay,12.3,1.5,Yes
TICK014783,CUST012838,2025-03-09,Account Access,13.3,3.3,Yes
TICK014784,CUST003703,2024-01-22,Product Quality,23.5,3.3,Yes
TICK014785,CUST029751,2025-06-08,Payment Issue,12.0,4.3,Yes
TICK014786,CUST007761,2024-03-30,Account Access,13.7,4.3,Yes
TICK014787,CUST012665,2024-04-16,Account Access,12.7,4.8,Yes
TICK014788,CUST009940,2024-11-02,Account Access,14.5,4.2,Yes
TICK014789,CUST044947,2024-12-12,Product Quality,5.8,3.8,Yes
TICK014790,CUST021929,2025-05-30,Cancellation,33.0,4.5,Yes
TICK014791,CUST042805,2024-06-24,Delivery Delay,11.5,4.8,Yes
TICK014792,CUST031445,2024-09-21,Payment Issue,28.5,2.6,Yes
TICK014793,CUST018619,2025-01-22,Product Quality,27.9,3.0,Yes
TICK014794,CUST038406,2025-11-05,Payment Issue,19.4,3.8,Yes
TICK014795,CUST011970,2025-09-29,Refund,20.0,4.1,Yes
TICK014796,CUST004259,2024-07-09,Refund,7.1,2.9,Yes
TICK014797,CUST046897,2024-01-07,Refund,5.0,2.7,Yes
TICK014798,CUST023751,2024-08-12,Product Information,29.5,3.5,Yes
TICK014799,CUST038274,2024-06-03,Product Information,21.9,4.1,Yes
TICK014800,CUST014413,2024-01-08,Delivery Delay,9.1,4.0,Yes
TICK014801,CUST018512,2025-11-24,Product Information,4.0,3.3,Yes
TICK014802,CUST016585,2025-12-30,Product Information,16.3,3.4,Yes
TICK014803,CUST038570,2024-07-08,Product Quality,11.0,3.5,Yes
TICK014804,CUST011290,2024-02-20,Product Quality,13.5,3.6,Yes
TICK014805,CUST042324,2025-10-26,Product Information,4.9,3.3,Yes
TICK014806,CUST017523,2025-02-28,Refund,5.2,4.0,Yes
TICK014807,CUST020340,2024-11-27,Delivery Delay,10.2,3.3,Yes
TICK014808,CUST039233,2024-09-17,Refund,11.8,3.1,Yes
TICK014809,CUST024311,2025-02-12,Cancellation,21.1,5.0,Yes
TICK014810,CUST040675,2025-08-28,Cancellation,36.1,2.8,Yes
TICK014811,CUST011682,2025-12-03,Product Quality,13.3,5.0,Yes
TICK014812,CUST039377,2024-05-06,Cancellation,24.6,3.8,Yes
TICK014813,CUST005761,2025-04-27,Payment Issue,34.0,5.0,Yes
TICK014814,CUST010204,2025-02-26,Cancellation,25.5,2.6,Yes
TICK014815,CUST047421,2025-03-13,Delivery Delay,11.8,2.6,Yes
TICK014816,CUST035466,2025-03-04,Payment Issue,48.0,4.4,Yes
TICK014817,CUST010689,2025-04-14,Product Information,34.1,3.4,Yes
TICK014818,CUST031094,2024-11-14,Delivery Delay,16.4,2.6,Yes
TICK014819,CUST048326,2024-06-03,Payment Issue,89.1,2.4,Yes
TICK014820,CUST011363,2024-08-28,Account Access,29.8,2.3,No
TICK014821,CUST004216,2024-04-01,Refund,57.6,3.6,Yes
TICK014822,CUST030067,2025-08-13,Product Quality,37.0,3.7,Yes
TICK014823,CUST026371,2025-06-27,Product Quality,12.1,4.1,No
TICK014824,CUST039664,2025-10-14,Product Quality,14.8,4.3,Yes
TICK014825,CUST030058,2024-06-26,Account Access,10.4,3.9,Yes
TICK014826,CUST015703,2024-09-10,Account Access,57.8,4.5,Yes
TICK014827,CUST005173,2024-11-16,Account Access,13.6,3.6,Yes
TICK014828,CUST018341,2025-02-17,Delivery Delay,7.0,2.4,Yes
TICK014829,CUST012292,2024-02-10,Account Access,28.8,2.8,Yes
TICK014830,CUST009749,2025-11-20,Payment Issue,16.4,5.0,Yes
TICK014831,CUST011838,2025-01-21,Cancellation,24.4,4.8,Yes
TICK014832,CUST007244,2024-03-19,Refund,10.8,4.6,Yes
TICK014833,CUST019952,2025-08-31,Payment Issue,14.0,3.0,Yes
TICK014834,CUST021468,2025-07-20,Account Access,3.5,4.7,No
TICK014835,CUST040822,2025-11-07,Product Quality,13.2,3.8,Yes
TICK014836,CUST024966,2025-08-28,Refund,26.8,3.2,Yes
TICK014837,CUST004002,2024-06-15,Product Information,9.3,3.4,Yes
TICK014838,CUST004090,2024-10-12,Refund,17.5,3.8,Yes
TICK014839,CUST042501,2025-04-06,Product Information,6.6,2.9,Yes
TICK014840,CUST007387,2025-07-08,Product Information,10.0,4.1,Yes
TICK014841,CUST025259,2025-08-22,Payment Issue,16.2,5.0,Yes
TICK014842,CUST043054,2025-10-30,Product Information,17.2,3.6,Yes
TICK014843,CUST032058,2025-12-30,Delivery Delay,58.7,4.2,Yes
TICK014844,CUST016659,2024-12-07,Cancellation,36.5,5.0,Yes
TICK014845,CUST041714,2024-07-09,Product Information,11.6,5.0,Yes
TICK014846,CUST024036,2025-12-18,Delivery Delay,7.0,2.5,Yes
TICK014847,CUST022014,2025-11-20,Account Access,4.9,3.3,Yes
TICK014848,CUST049748,2024-06-22,Refund,30.5,4.2,Yes
TICK014849,CUST048866,2024-03-30,Product Quality,13.5,4.5,Yes
TICK014850,CUST030611,2024-06-22,Refund,20.4,4.4,Yes
TICK014851,CUST010006,2025-02-01,Delivery Delay,16.9,4.8,Yes
TICK014852,CUST043941,2025-08-27,Account Access,12.1,2.4,Yes
TICK014853,CUST049965,2025-11-08,Product Quality,15.3,3.6,Yes
TICK014854,CUST041131,2025-06-19,Refund,16.8,4.1,Yes
TICK014855,CUST042769,2024-12-18,Product Quality,26.9,5.0,Yes
TICK014856,CUST016148,2025-09-15,Cancellation,38.9,4.6,Yes
TICK014857,CUST019402,2025-06-25,Delivery Delay,32.7,5.0,Yes
TICK014858,CUST015831,2024-03-30,Payment Issue,42.7,3.1,Yes
TICK014859,CUST011097,2025-04-22,Account Access,10.3,4.7,Yes
TICK014860,CUST000023,2024-05-13,Delivery Delay,10.3,1.5,Yes
TICK014861,CUST020372,2025-07-07,Product Information,9.8,3.2,Yes
TICK014862,CUST035157,2024-01-13,Refund,56.3,4.1,Yes
TICK014863,CUST016974,2024-08-11,Payment Issue,21.9,4.3,Yes
TICK014864,CUST005355,2025-03-31,Refund,35.9,3.6,Yes
TICK014865,CUST043794,2025-05-05,Delivery Delay,27.4,3.5,Yes
TICK014866,CUST041578,2024-12-04,Product Information,26.3,2.5,Yes
TICK014867,CUST018749,2024-07-24,Delivery Delay,15.1,4.4,Yes
TICK014868,CUST019166,2025-08-18,Product Quality,37.7,4.1,Yes
TICK014869,CUST042774,2024-08-02,Payment Issue,14.9,3.2,Yes
TICK014870,CUST021049,2024-07-31,Refund,18.0,2.1,Yes
TICK014871,CUST037052,2024-04-13,Cancellation,7.1,3.6,Yes
TICK014872,CUST013494,2025-05-28,Product Information,8.2,2.7,Yes
TICK014873,CUST021477,2025-10-22,Product Quality,12.4,3.4,No
TICK014874,CUST046316,2024-12-23,Refund,9.9,4.3,Yes
TICK014875,CUST024062,2024-06-12,Delivery Delay,38.5,3.3,Yes
TICK014876,CUST027362,2025-03-22,Product Quality,28.8,4.4,Yes
TICK014877,CUST041214,2024-10-14,Delivery Delay,20.3,4.5,Yes
TICK014878,CUST029516,2024-07-03,Product Quality,7.2,2.2,Yes
TICK014879,CUST035527,2024-05-23,Refund,16.6,3.4,Yes
TICK014880,CUST003752,2025-01-10,Cancellation,10.1,4.9,Yes
TICK014881,CUST023117,2025-07-20,Payment Issue,23.1,3.0,Yes
TICK014882,CUST032778,2024-09-18,Product Information,32.7,2.8,Yes
TICK014883,CUST026843,2024-04-25,Cancellation,26.4,3.1,Yes
TICK014884,CUST002216,2025-06-17,Account Access,36.8,3.6,Yes
TICK014885,CUST014942,2025-02-27,Account Access,34.2,4.2,Yes
TICK014886,CUST039633,2024-04-22,Refund,23.3,4.2,Yes
TICK014887,CUST018654,2024-12-24,Product Quality,29.4,3.2,Yes
TICK014888,CUST044111,2024-08-23,Payment Issue,38.7,4.1,No
TICK014889,CUST020362,2025-04-25,Product Information,30.3,3.2,Yes
TICK014890,CUST009882,2024-09-20,Delivery Delay,49.2,3.7,Yes
TICK014891,CUST026387,2025-06-04,Product Quality,25.7,3.3,Yes
TICK014892,CUST045720,2024-05-02,Account Access,11.0,2.5,Yes
TICK014893,CUST011225,2025-05-29,Delivery Delay,17.4,5.0,Yes
TICK014894,CUST043617,2025-04-15,Product Quality,59.2,4.1,Yes
TICK014895,CUST010390,2025-07-18,Product Information,18.0,3.6,Yes
TICK014896,CUST008516,2024-02-16,Product Information,15.7,3.9,Yes
TICK014897,CUST021983,2025-10-30,Refund,17.3,4.1,Yes
TICK014898,CUST044619,2024-02-13,Delivery Delay,22.2,4.5,Yes
TICK014899,CUST025274,2024-09-07,Cancellation,10.4,3.7,Yes
TICK014900,CUST036342,2024-08-28,Delivery Delay,19.9,4.1,Yes
TICK014901,CUST041242,2025-07-28,Account Access,101.3,2.6,Yes
TICK014902,CUST023938,2024-12-05,Payment Issue,10.9,4.4,Yes
TICK014903,CUST005064,2024-03-20,Account Access,43.9,3.1,Yes
TICK014904,CUST027759,2025-12-08,Product Information,8.5,4.7,Yes
TICK014905,CUST005493,2025-03-23,Product Information,19.7,3.9,Yes
TICK014906,CUST041474,2025-09-16,Product Information,74.1,3.9,Yes
TICK014907,CUST020730,2025-06-28,Delivery Delay,36.5,5.0,Yes
TICK014908,CUST016628,2024-03-16,Account Access,5.8,4.9,Yes
TICK014909,CUST028263,2024-12-19,Cancellation,22.9,5.0,Yes
TICK014910,CUST043828,2024-02-12,Product Information,9.4,3.2,Yes
TICK014911,CUST000649,2024-03-06,Payment Issue,23.4,5.0,Yes
TICK014912,CUST044293,2025-05-24,Product Quality,4.8,4.6,Yes
TICK014913,CUST037801,2025-02-08,Cancellation,107.6,4.8,No
TICK014914,CUST028664,2024-05-22,Product Quality,16.3,4.4,Yes
TICK014915,CUST029761,2024-08-12,Product Information,7.3,3.3,Yes
TICK014916,CUST049642,2024-11-19,Product Information,8.7,4.6,Yes
TICK014917,CUST034330,2024-06-16,Product Quality,34.9,4.3,Yes
TICK014918,CUST037760,2024-04-12,Refund,33.8,3.2,Yes
TICK014919,CUST028569,2024-02-10,Refund,28.8,4.2,Yes
TICK014920,CUST035713,2025-04-29,Payment Issue,21.1,4.5,Yes
TICK014921,CUST039861,2024-07-02,Account Access,24.0,3.3,Yes
TICK014922,CUST023874,2025-10-05,Product Quality,36.7,4.1,Yes
TICK014923,CUST048535,2025-11-15,Product Information,7.8,4.8,Yes
TICK014924,CUST023320,2024-01-16,Account Access,38.1,4.9,Yes
TICK014925,CUST032610,2024-10-22,Product Information,10.1,2.2,Yes
TICK014926,CUST000582,2024-08-10,Delivery Delay,37.3,4.2,Yes
TICK014927,CUST043473,2024-12-29,Cancellation,20.3,3.3,Yes
TICK014928,CUST008988,2025-06-05,Payment Issue,3.2,3.3,Yes
TICK014929,CUST005651,2025-06-19,Product Information,21.5,4.1,Yes
TICK014930,CUST007005,2024-04-17,Payment Issue,28.1,4.8,Yes
TICK014931,CUST023789,2025-10-18,Payment Issue,9.9,2.2,Yes
TICK014932,CUST013916,2025-12-27,Account Access,29.8,4.4,Yes
TICK014933,CUST049609,2024-11-02,Refund,44.5,4.3,Yes
TICK014934,CUST023571,2024-09-03,Product Quality,21.7,2.8,Yes
TICK014935,CUST016424,2024-07-01,Delivery Delay,39.2,2.1,Yes
TICK014936,CUST010648,2024-04-03,Delivery Delay,30.8,3.9,Yes
TICK014937,CUST005572,2025-12-05,Product Quality,20.4,4.2,Yes
TICK014938,CUST028756,2024-05-17,Refund,8.2,3.5,Yes
TICK014939,CUST029153,2025-04-23,Delivery Delay,13.3,4.1,Yes
TICK014940,CUST007504,2024-11-23,Product Quality,34.9,4.7,Yes
TICK014941,CUST025350,2025-05-13,Payment Issue,8.2,3.0,Yes
TICK014942,CUST021212,2024-02-09,Refund,12.3,3.3,Yes
TICK014943,CUST030879,2025-03-27,Cancellation,11.9,1.5,Yes
TICK014944,CUST010414,2025-11-16,Account Access,82.4,4.3,Yes
TICK014945,CUST029629,2025-02-18,Account Access,38.7,2.8,Yes
TICK014946,CUST012601,2024-01-25,Payment Issue,5.5,3.8,Yes
TICK014947,CUST047670,2024-10-02,Refund,25.6,3.0,Yes
TICK014948,CUST005571,2025-09-23,Account Access,11.6,4.2,Yes
TICK014949,CUST024969,2024-12-15,Product Information,52.3,4.8,Yes
TICK014950,CUST004210,2024-06-11,Delivery Delay,20.9,1.8,No
TICK014951,CUST047236,2025-06-17,Product Information,63.6,3.4,Yes
TICK014952,CUST042078,2025-01-13,Delivery Delay,17.2,4.4,Yes
TICK014953,CUST009373,2025-02-27,Account Access,8.8,2.9,Yes
TICK014954,CUST021356,2024-08-15,Cancellation,15.9,3.1,No
TICK014955,CUST031821,2025-04-21,Product Quality,8.5,2.8,Yes
TICK014956,CUST047877,2025-12-12,Payment Issue,11.3,3.1,Yes
TICK014957,CUST020358,2025-12-07,Product Quality,51.5,3.7,Yes
TICK014958,CUST012378,2024-09-21,Refund,6.6,4.0,Yes
TICK014959,CUST014343,2024-05-22,Refund,45.3,3.9,Yes
TICK014960,CUST024878,2025-04-18,Product Information,9.6,2.7,Yes
TICK014961,CUST016432,2024-12-21,Delivery Delay,14.9,3.7,Yes
TICK014962,CUST004944,2025-09-10,Account Access,13.2,3.7,Yes
TICK014963,CUST010110,2025-01-13,Cancellation,13.0,3.4,Yes
TICK014964,CUST000419,2025-07-19,Product Quality,10.6,2.9,Yes
TICK014965,CUST034786,2024-04-19,Payment Issue,25.8,2.3,Yes
TICK014966,CUST044536,2024-09-01,Refund,6.2,5.0,No
TICK014967,CUST014195,2025-03-08,Account Access,44.2,4.3,No
TICK014968,CUST045099,2025-02-03,Product Information,22.7,5.0,Yes
TICK014969,CUST020451,2025-11-16,Payment Issue,11.4,2.0,Yes
TICK014970,CUST013759,2025-09-15,Account Access,12.6,3.3,Yes
TICK014971,CUST029021,2024-09-20,Delivery Delay,19.0,3.8,No
TICK014972,CUST022446,2024-08-23,Account Access,17.0,2.5,Yes
TICK014973,CUST029629,2024-07-18,Payment Issue,16.4,3.5,Yes
TICK014974,CUST014609,2025-07-01,Product Quality,15.7,5.0,Yes
TICK014975,CUST012109,2025-12-07,Product Quality,19.3,4.4,Yes
TICK014976,CUST036121,2024-06-17,Payment Issue,19.0,3.7,Yes
TICK014977,CUST012729,2024-12-07,Refund,34.3,4.1,Yes
TICK014978,CUST016632,2025-02-24,Payment Issue,19.9,4.3,Yes
TICK014979,CUST010715,2024-04-25,Refund,24.8,3.8,Yes
TICK014980,CUST049331,2025-01-25,Refund,42.0,5.0,Yes
TICK014981,CUST021612,2024-01-02,Refund,10.8,4.0,Yes
TICK014982,CUST007434,2025-12-27,Refund,28.5,4.4,Yes
TICK014983,CUST008600,2024-02-19,Product Quality,8.8,3.8,Yes
TICK014984,CUST016929,2025-04-01,Delivery Delay,11.9,4.5,Yes
TICK014985,CUST032909,2025-09-05,Refund,12.3,4.6,Yes
TICK014986,CUST017101,2025-11-29,Payment Issue,12.0,3.1,Yes
TICK014987,CUST049699,2025-06-24,Product Quality,17.5,2.8,Yes
TICK014988,CUST003079,2024-01-12,Cancellation,4.9,2.1,Yes
TICK014989,CUST026514,2025-08-12,Payment Issue,24.3,3.6,Yes
TICK014990,CUST046729,2024-07-02,Refund,3.7,3.4,Yes
TICK014991,CUST027480,2024-10-07,Product Quality,18.0,5.0,Yes
TICK014992,CUST042700,2025-12-17,Delivery Delay,25.7,4.6,No
TICK014993,CUST028263,2025-02-25,Delivery Delay,13.3,3.3,Yes
TICK014994,CUST026064,2025-02-21,Delivery Delay,6.0,4.3,Yes
TICK014995,CUST025159,2025-01-11,Cancellation,76.4,2.9,Yes
TICK014996,CUST032992,2025-08-20,Delivery Delay,22.3,4.2,Yes
TICK014997,CUST015863,2024-04-13,Product Quality,29.0,4.1,Yes
TICK014998,CUST013619,2025-01-13,Refund,20.5,2.1,Yes
TICK014999,CUST020862,2024-11-13,Cancellation,44.7,3.8,Yes
TICK015000,CUST031653,2024-08-19,Delivery Delay,33.8,4.2,Yes
TICK015001,CUST015009,2025-12-17,Account Access,9.7,2.9,Yes
TICK015002,CUST038663,2025-12-07,Refund,20.5,5.0,Yes
TICK015003,CUST024706,2024-04-06,Product Quality,23.4,2.7,Yes
TICK015004,CUST030567,2025-11-18,Refund,25.9,4.9,Yes
TICK015005,CUST031198,2024-08-21,Cancellation,28.7,4.4,Yes
TICK015006,CUST022228,2025-11-18,Refund,31.4,4.7,Yes
TICK015007,CUST018261,2025-02-22,Payment Issue,26.9,4.5,Yes
TICK015008,CUST039296,2024-10-10,Product Information,102.3,4.6,Yes
TICK015009,CUST024654,2025-12-12,Account Access,15.9,5.0,Yes
TICK015010,CUST036542,2024-02-10,Product Information,9.1,4.7,Yes
TICK015011,CUST001279,2024-04-06,Payment Issue,12.4,3.3,Yes
TICK015012,CUST016190,2024-11-01,Refund,10.9,4.1,Yes
TICK015013,CUST029676,2025-10-05,Payment Issue,29.7,2.9,Yes
TICK015014,CUST030956,2025-04-17,Delivery Delay,31.6,4.3,Yes
TICK015015,CUST043678,2024-04-09,Refund,27.9,4.8,Yes
TICK015016,CUST043614,2025-10-21,Delivery Delay,24.3,3.4,Yes
TICK015017,CUST036502,2025-03-07,Cancellation,12.2,3.6,Yes
TICK015018,CUST030039,2024-12-08,Product Quality,12.5,3.3,Yes
TICK015019,CUST015591,2025-10-15,Delivery Delay,46.8,3.6,Yes
TICK015020,CUST033942,2025-04-14,Account Access,66.5,3.0,Yes
TICK015021,CUST035888,2025-04-16,Payment Issue,16.6,1.4,Yes
TICK015022,CUST003924,2025-11-29,Product Information,17.8,3.7,Yes
TICK015023,CUST016762,2024-12-31,Cancellation,19.0,3.7,Yes
TICK015024,CUST018909,2024-02-02,Product Quality,25.4,3.4,Yes
TICK015025,CUST035809,2025-01-20,Payment Issue,64.2,3.5,Yes
TICK015026,CUST038935,2025-05-09,Product Information,24.5,4.3,Yes
TICK015027,CUST028962,2025-09-18,Product Information,36.8,4.5,Yes
TICK015028,CUST031678,2025-10-04,Product Quality,15.8,4.4,Yes
TICK015029,CUST016926,2025-09-22,Product Quality,27.4,4.1,Yes
TICK015030,CUST005821,2024-07-06,Product Quality,10.1,1.8,Yes
TICK015031,CUST049347,2024-03-02,Product Quality,56.3,4.3,Yes
TICK015032,CUST039627,2024-03-18,Product Quality,24.0,4.4,Yes
TICK015033,CUST023826,2024-02-14,Payment Issue,13.3,2.3,Yes
TICK015034,CUST043327,2024-12-02,Product Information,20.6,4.2,Yes
TICK015035,CUST010193,2024-06-08,Product Information,12.4,5.0,Yes
TICK015036,CUST037697,2024-08-11,Delivery Delay,19.6,4.1,Yes
TICK015037,CUST022208,2024-05-09,Refund,7.0,3.7,Yes
TICK015038,CUST014187,2024-01-30,Product Information,10.4,4.2,Yes
TICK015039,CUST024454,2025-11-05,Refund,9.7,4.6,Yes
TICK015040,CUST015419,2025-09-18,Delivery Delay,11.6,5.0,Yes
TICK015041,CUST002624,2025-11-02,Product Quality,32.9,2.4,Yes
TICK015042,CUST037170,2024-09-25,Account Access,14.0,4.0,Yes
TICK015043,CUST015997,2025-04-18,Account Access,18.2,3.2,Yes
TICK015044,CUST001479,2024-08-03,Cancellation,16.0,2.4,No
TICK015045,CUST039746,2024-05-27,Cancellation,12.9,1.2,Yes
TICK015046,CUST017587,2024-09-05,Account Access,14.7,3.5,Yes
TICK015047,CUST031762,2025-09-22,Payment Issue,7.1,3.5,Yes
TICK015048,CUST015261,2025-08-08,Product Information,42.1,4.3,Yes
TICK015049,CUST047796,2024-06-08,Refund,22.2,4.0,No
TICK015050,CUST026078,2024-07-07,Product Quality,30.4,3.7,Yes
